Min;70.52197802197803;72.82738095238095;61.153846153846146;63.33970333209464
Max;76.67582417582416;77.22194472194471;81.92307692307692;76.98221829256312
Mean;72.6565934065934;75.27913639713512;70.58241758241759;71.16078264852857
Median;72.52747252747253;75.15517815517816;68.79120879120879;71.76531412033358

SampleSplit;Accuracy;Precision;Recall;F1
5;72.36263736263734;74.06943056943057;76.92307692307693;75.87333957189352
15;73.4065934065934;74.38649841207385;81.92307692307692;76.98221829256312
25;76.67582417582416;77.22194472194471;76.92307692307693;75.29585877085877
35;73.02197802197801;72.82738095238095;74.7802197802198;74.16658980715776
45;74.47802197802199;75.82967032967034;67.63736263736264;72.7584017515052
55;70.93406593406594;75.30935730935731;69.83516483516483;70.77222648916198
65;71.23626373626372;76.87355455002513;61.153846153846146;68.98754578754578
75;72.6923076923077;77.0773344302756;64.17582417582418;63.33970333209464
85;71.23626373626372;75.000999000999;67.74725274725274;66.43689968202712
95;70.52197802197803;74.1951936951937;64.72527472527473;66.99504300047778
